year,site,density,latitude,longitude 
2006,a-p-04,0.902777778,34.017667,-119.363683
2006,a-p-05,0.802777778,34.012783,-119.363133
2006,a-p-06,0.624305556,34.009883,-119.388333
2006,a-p-07,0.9725,34.016983,-119.432917
2006,a-p-14,0.358695652,34.4412874,-120.4167926
2006,a-p-19,0.355263158,34.48696,-120.5005234
2006,a-p-22,0.821212121,34.42185,-119.9515
2006,a-p-33,0.92962963,34.044933,-119.6014
2006,a-p-36,0.835416667,34.056583,-119.821167
2006,a-p-38,1.021014493,34.072867,-119.870983
2006,a-p-39,0.694444444,34.03065,-119.69665
2006,a-p-42,0.500793651,34.048467,-119.546367
2006,a-p-43,0.608333333,34.047983,-119.5514
2006,a-p-34,0.280434783,34.051483,-119.909667
2006,a-p-35,0.755882353,33.946467,-119.823183
2006,a-p-37,0.626041667,34.0434,-119.535733
2006,a-p-41,0.794791667,34.038367,-119.5253
2006,a-p-44,0.275694444,33.983617,-119.6384
2006,a-p-45,0.495555556,33.988533,-119.546983
2006,a-p-47,0.934057971,34.015867,-120.3305
2006,a-p-48,0.515972222,34.051717,-120.346183
2006,a-p-50,0.370833333,34.052783,-120.337383
2006,a-p-52,0.422222222,34.025467,-120.4067
2006,a-p-60,0.813492063,33.897433,-120.100383
2006,a-p-64,0.247101449,33.891567,-120.1192
2006,a-p-32,1.154166667,34.054283,-119.566867
2006,a-p-40,0.9125,34.050983,-119.575883
2006,a-p-57,0.025925926,33.931667,-120.197417
2006,a-p-65,0.345138889,33.90725,-120.153
2006,a-l-01,0.175,34.400275,-119.7445917
2006,a-l-02,0.30625,34.47181667,-120.1426167
2006,a-l-03,0.58125,34.46782143,-120.1192428
2006,a-l-04,0.120833333,34.45849992,-120.3334874
2006,a-l-05,0.222991071,34.39167778,-119.54175
2006,a-l-06,0.21875,34.41371667,-119.8221
2006,a-l-07,0.20625,34.40469558,-119.8644769
2006,a-l-08,0.475,34.39410555,-119.7296222
2006,a-l-09,0.513715278,34.42210741,-119.9517074
2006,a-l-10,0.9625,34.0588,-119.7575
2006,a-l-11,0.56875,34.0445,-119.7155
2006,a-k-21,0.049,34.0237,-120.3951667
2006,a-p-18,NA,34.40295,-119.8645167
2006,a-p-09,NA,34.46628333,-120.1169667
2006,a-p-10,NA,34.45543333,-120.33205
2006,a-p-17,NA,34.38945,-119.5447667
2007,a-s-01,0.2744,33.26233333,-119.5801667
2007,a-s-02,0.2392,33.27325,-119.48615
2007,a-s-03,0.149,33.24763333,-119.5703833
2007,a-s-04,0.5288,33.21665,-119.4854167
2007,a-s-05,0.606,33.21688333,-119.4441167
2007,a-k-01,0.1685,34.02236667,-120.3874667
2007,a-k-02,0.0975,34.06438333,-120.3566
2007,a-k-03,0.191,33.90146667,-120.1029667
2007,a-k-04,0.133,33.89753333,-120.10075
2007,a-k-05,0.731,34.03261667,-120.107
2007,a-k-06,0.156,33.94966667,-119.8275833
2007,a-k-07,0.683,34.05635,-119.75515
2007,a-k-08,0.3065,34.0345,-119.7033333
2007,a-k-09,0.1705,34.04798333,-119.5514
2007,a-k-10,0.1225,33.98983333,-119.5630667
2007,a-k-11,0.3555,34.00775,-119.4343833
2007,a-k-12,0.222,34.01586667,-119.3717333
2007,a-k-13,0.295,34.01666667,-119.3616667
2007,a-k-14,0.035,33.46611667,-119.0277833
2007,a-k-15,0.098,33.48753333,-119.0275833
2007,a-k-16,0.067,33.46441667,-119.0391667
2007,a-k-22,0.048,33.92303333,-120.1873667
2007,a-k-23,0.0735,33.90855,-120.1555
2007,a-k-24,0.059,33.90036667,-120.1356333
2007,a-k-25,0.1075,33.89233333,-120.1195
2007,a-k-26,0.3435,34.04493333,-119.6014
2007,a-k-27,0.2835,34.05223333,-119.5825333
2007,a-k-28,0.6125,34.05428333,-119.56685
2007,a-k-29,0.4,34.04415,-119.54245
