site ,location ,data_source ,research_group,sitevar_1,sitevar_2,latitude,longitude,,,,
b-k-01,san_miguel_island,,kfm,1,NA,34.02236667,-120.3874667,,,,
b-k-02,san_miguel_island,,kfm,2,NA,34.06438333,-120.3566,,,,
b-k-03,santa_rosa_island,,kfm,3,NA,33.90146667,-120.1029667,,,,
b-k-04,santa_rosa_island,,kfm,4,NA,33.89753333,-120.10075,,,,
b-k-05,santa_rosa_island,,kfm,5,NA,34.03261667,-120.107,,,,
b-k-06,santa_cruz_island,,kfm,6,NA,33.94966667,-119.8275833,,,,
b-k-07,santa_cruz_island,,kfm,7,NA,34.05635,-119.75515,,,,
b-k-08,santa_cruz_island,,kfm,8,NA,34.0345,-119.7033333,,,,
b-k-09,santa_cruz_island,,kfm,9,NA,34.04798333,-119.5514,,,,
b-k-10,santa_cruz_island,,kfm,10,NA,33.98983333,-119.5630667,,,,
b-k-11,anacapa_island,,kfm,11,NA,34.00775,-119.4343833,,,,
b-k-12,anacapa_island,,kfm,12,NA,34.01586667,-119.3717333,,,,
b-k-13,anacapa_island,,kfm,13,NA,34.01666667,-119.3616667,,,,sni=san nicholas island 
b-k-14,santa_barbara_island,,kfm,14,NA,33.46611667,-119.0277833,,,,kfm=kelp forest monitoring 
b-k-15,santa_barbara_island,,kfm,15,NA,33.48753333,-119.0275833,,,,
b-k-16,santa_barbara_island,,kfm,16,NA,33.46441667,-119.0391667,,,,
b-k-17,san_clemente_island,,kfm,17,NA,33.03,-118.59,,,,
b-k-18,san_clemente_island,,kfm,18,NA,33,-118.54,,,,
b-k-19,san_clemente_island,,kfm,19,NA,32.91,-118.54,,,,
b-k-20,san_clemente_island,,kfm,20,NA,32.8,-118.4,,,,
b-k-21,san_miguel_island,,kfm,21,NA,34.0237,-120.3951667,,,,
b-k-22,santa_rosa_island,,kfm,22,NA,33.92303333,-120.1873667,,,,
b-k-23,santa_rosa_island,,kfm,23,NA,33.90855,-120.1555,,,,
b-k-24,santa_rosa_island,,kfm,24,NA,33.90036667,-120.1356333,,,,
b-k-25,santa_rosa_island,,kfm,25,NA,33.89233333,-120.1195,,,,
b-k-26,santa_cruz_island,,kfm,26,NA,34.04493333,-119.6014,,,,
b-k-27,santa_cruz_island,,kfm,27,NA,34.05223333,-119.5825333,,,,
b-k-28,santa_cruz_island,,kfm,28,NA,34.05428333,-119.56685,,,,
b-k-29,santa_cruz_island,,kfm,29,NA,34.04415,-119.54245,,,,
b-k-30,santa_cruz_island,,kfm,30,NA,34.03836667,-119.5253,,,,
b-k-31,anacapa_island,,kfm,31,NA,34.01641667,-119.4320167,,,,
b-k-32,anacapa_island,,kfm,32,NA,34.0045,-119.3857833,,,,
b-k-33,anacapa_island,,kfm,33,NA,34.0126,-119.3891833,,,,
b-k-34,anacapa_island,,kfm,34,NA,34.0141,-119.3590167,,,,
b-k-35,santa_barbara_island,,kfm,35,NA,33.48003333,-119.0621167,,,,
b-k-36,santa_barbara_island,,kfm,36,NA,33.47306667,-119.02685,,,,
b-k-37,santa_barbara_island,,kfm,37,NA,33.46293333,-119.0312667,,,,
b-l-01,mainland,,lter,ABUR,NA,34.400275,-119.7445917,,,,
b-l-02,mainland,,lter,AHND,NA,34.47181667,-120.1426167,,,,
b-l-03,mainland,,lter,AQUE,NA,34.46782143,-120.1192428,,,,
b-l-04,mainland,,lter,BULL,NA,34.45849992,-120.3334874,,,,
b-l-05,mainland,,lter,CARP,NA,34.39167778,-119.54175,,,,
b-l-06,mainland,,lter,GOLB,NA,34.41371667,-119.8221,,,,
b-l-07,mainland,,lter,IVEE,NA,34.40469558,-119.8644769,,,,
b-l-08,mainland,,lter,MOHK,NA,34.39410555,-119.7296222,,,,
b-l-09,mainland,,lter,NAPL,NA,34.42210741,-119.9517074,,,,
b-l-10,santa_cruz_island,,lter,SCDI,NA,34.0588,-119.7575,,,,
b-l-11,santa_cruz_island,,lter,SCTW,NA,34.0445,-119.7155,,,,
b-p-001,anacapa_island,,pisco,ANACAPA_ADMIRALS,CEN,34.002883,-119.4252,,,,
b-p-002,anacapa_island,,pisco,ANACAPA_ADMIRALS,E,34.003433,-119.418,,,,
b-p-003,anacapa_island,,pisco,ANACAPA_ADMIRALS,W,34.00775,-119.434383,,,,
b-p-004,anacapa_island,,pisco,ANACAPA_BLACK_SEA_BASS,CEN,34.0126,-119.389183,,,,
b-p-005,anacapa_island,,pisco,ANACAPA_EAST_FISH_CAMP,CEN,34.001583,-119.398067,,,,
b-p-006,anacapa_island,,pisco,ANACAPA_EAST_FISH_CAMP,E,34.0045,-119.385783,,,,
b-p-007,anacapa_island,,pisco,ANACAPA_EAST_FISH_CAMP,W,34.003083,-119.404167,,,,
b-p-008,anacapa_island,,pisco,ANACAPA_EAST_ISLE,CEN,34.017667,-119.363683,,,,
b-p-009,anacapa_island,,pisco,ANACAPA_EAST_ISLE,E,34.017033,-119.361133,,,,
b-p-010,anacapa_island,,pisco,ANACAPA_EAST_ISLE,W,34.015867,-119.371733,,,,
b-p-011,anacapa_island,,pisco,ANACAPA_LIGHTHOUSE_REEF,CEN,34.012783,-119.363133,,,,
b-p-012,anacapa_island,,pisco,ANACAPA_LIGHTHOUSE_REEF,E,34.0139,-119.36,,,,
b-p-013,anacapa_island,,pisco,ANACAPA_LIGHTHOUSE_REEF,W,34.010783,-119.3725,,,,
b-p-014,anacapa_island,,pisco,ANACAPA_MIDDLE_ISLE,CEN,34.009883,-119.388333,,,,
b-p-015,anacapa_island,,pisco,ANACAPA_MIDDLE_ISLE,E,34.0085,-119.388167,,,,
b-p-016,anacapa_island,,pisco,ANACAPA_MIDDLE_ISLE,W,34.007833,-119.394467,,,,
b-p-017,anacapa_island,,pisco,ANACAPA_WEST_ISLE,CEN,34.016983,-119.432917,,,,
b-p-018,anacapa_island,,pisco,ANACAPA_WEST_ISLE,E,34.016083,-119.421833,,,,
b-p-019,anacapa_island,,pisco,ANACAPA_WEST_ISLE,W,34.017417,-119.438067,,,,
b-p-020,mainland,,pisco,ARGUELLO,E,34.5417333,-120.5717167,,,,
b-p-021,mainland,,pisco,ARGUELLO,W,34.5405,-120.5691167,,,,
b-p-022,mainland,,pisco,ARROYO_QUEMADO,E,34.46628333,-120.1169667,,,,
b-p-023,mainland,,pisco,ARROYO_QUEMADO,W,34.46835,-120.1251833,,,,
b-p-024,mainland,,pisco,BULLITO,CEN,34.45543333,-120.33205,,,,
b-p-025,NA,,pisco,CAT_BLUE_CAVERN,CEN,NA,NA,,,,
b-p-026,NA,,pisco,CAT_INTAKE_PIPES,CEN,NA,NA,,,,
b-p-027,NA,,pisco,CAT_PUMPERNICKEL,CEN,NA,NA,,,,
b-p-028,mainland,,pisco,COJO,E,34.4412874,-120.4167926,,,,
b-p-029,mainland,,pisco,COJO,W,34.443204,-120.4233264,,,,
b-p-030,mainland,,pisco,COUNTY_LINE,CEN,34.04301667,-118.9522167,,,,
b-p-031,mainland,,pisco,EL_MATADOR,CEN,34.03328333,-118.8701667,,,,
b-p-032,mainland,,pisco,HORSESHOE_REEF,E,34.38945,-119.5447667,,,,
b-p-033,mainland,,pisco,HORSESHOE_REEF,W,34.39173333,-119.5577,,,,
b-p-034,mainland,,pisco,IV_REEF,E,34.40295,-119.8645167,,,,
b-p-035,mainland,,pisco,IV_REEF,W,34.40473333,-119.8762833,,,,
b-p-036,mainland,,pisco,JALAMA,N,34.48696,-120.5005234,,,,
b-p-037,mainland,,pisco,JALAMA,S,34.4808418,-120.4944583,,,,
b-p-038,mainland,,pisco,LEO_CARRILLO,CEN,34.03761667,-118.9219833,,,,
b-p-039,mainland,,pisco,LITTLE_DUME,CEN,34.00491667,-118.7891167,,,,
b-p-040,mainland,,pisco,NAPLES,CEN,34.42185,-119.9515,,,,
b-p-041,mainland,,pisco,NAPLES,E,34.423333,-119.951017,,,,
b-p-042,mainland,,pisco,NAPLES,W,34.424633,-119.955317,,,,
b-p-043,mainland,,pisco,POINT_DUME,CEN,33.99853333,-118.8056333,,,,
b-p-044,mainland,,pisco,PURISIMA,N,34.7295008,-120.6317048,,,,
b-p-045,,,pisco,PURISIMA,S,34.7269485,-120.6271384,,,,
b-p-046,,,pisco,SAL,CEN,34.8719167,-120.6325667,,,,
b-p-047,,,pisco,SAL,E,NA,NA,,,,
b-p-048,,,pisco,SAL,FAR_WEST,NA,NA,,,,
b-p-049,,,pisco,SAL,N,34.87315,-120.6344833,,,,
b-p-050,,,pisco,SAL,S,34.871733,-120.6300833,,,,
b-p-051,,,pisco,SAL,W,34.8726667,-120.6327,,,,
b-p-052,,,pisco,SBI_ARCH_POINT,CEN,33.485617,-119.028767,,,,
b-p-053,,,pisco,SBI_ARCH_POINT,N,33.4875,-119.027217,,,,
b-p-054,,,pisco,SBI_ARCH_POINT,S,33.482883,-119.029,,,,
b-p-055,,,pisco,SBI_CAT_CANYON,CEN,33.4644,-119.03915,,,,
b-p-056,,,pisco,SBI_CAT_CANYON,W,33.4644166,-119.0440833,,,,
b-p-057,,,pisco,SBI_GRAVEYARD_CANYON,CEN,33.473067,-119.02685,,,,
b-p-058,,,pisco,SBI_GRAVEYARD_CANYON,N,33.47515,-119.024767,,,,
b-p-059,,,pisco,SBI_SOUTHEAST_REEF,CEN,33.462933,-119.031267,,,,
b-p-060,,,pisco,SBI_SOUTHEAST_REEF,S,33.458967,-119.033183,,,,
b-p-061,,,pisco,SBI_SOUTHEAST_SEA_LION,CEN,33.4661,-119.027783,,,,
b-p-062,,,pisco,SBI_SOUTHEAST_SEA_LION,N,33.470617,-119.028117,,,,
b-p-063,,,pisco,SBI_WEBSTERS_ARCH,CEN,33.480033,-119.0621,,,,
b-p-064,,,pisco,SBI_WEBSTERS_ARCH,E,33.478767,-119.05355,,,,
b-p-065,,,pisco,SBI_WEBSTERS_ARCH,N,33.4903,-119.049217,,,,
b-p-066,,,pisco,SCI_CAVERN_POINT,E,34.054283,-119.566867,,,,
b-p-067,,,pisco,SCI_CAVERN_POINT,W,34.05275,-119.5713,,,,
b-p-068,,,pisco,SCI_COCHE_POINT,E,34.044933,-119.6014,,,,
b-p-069,,,pisco,SCI_COCHE_POINT,W,34.04265,-119.604,,,,
b-p-070,,,pisco,SCI_FORNEY,E,34.051483,-119.909667,,,,
b-p-071,,,pisco,SCI_FORNEY,W,34.053883,-119.9182,,,,
b-p-072,,,pisco,SCI_GULL_ISLE,E,33.946467,-119.823183,,,,
