year,site_id,density,latitude,longitude
1982,a-k-01,2.533333333,34.02236667,-120.3874667
1982,a-k-02,27.66666667,34.06438333,-120.3566
1982,a-k-03,26.525,33.90146667,-120.1029667
1982,a-k-04,14.76666667,33.89753333,-120.10075
1982,a-k-06,16.2,33.94966667,-119.8275833
1982,a-k-07,6.066666667,34.05635,-119.75515
1982,a-k-08,8.333333333,34.0345,-119.7033333
1982,a-k-09,7.9,34.04798333,-119.5514
1982,a-k-11,7.9,34.00775,-119.4343833
1982,a-k-12,8.133333333,34.01586667,-119.3717333
1982,a-k-13,3.433333333,34.01666667,-119.3616667
1982,a-k-14,22.26666667,33.46611667,-119.0277833
1982,a-k-15,51.83333333,33.48753333,-119.0275833
1983,a-k-01,2.108,34.02236667,-120.3874667
1983,a-k-02,15.1165,34.06438333,-120.3566
1983,a-k-03,18.9255,33.90146667,-120.1029667
1983,a-k-04,8.591,33.89753333,-120.10075
1983,a-k-05,5.9905,34.03261667,-120.107
1983,a-k-06,11.9905,33.94966667,-119.8275833
1983,a-k-07,4.5785,34.05635,-119.75515
1983,a-k-08,7.559,34.0345,-119.7033333
1983,a-k-09,9.8585,34.04798333,-119.5514
1983,a-k-11,4.2685,34.00775,-119.4343833
1983,a-k-12,4.8595,34.01586667,-119.3717333
1983,a-k-13,3.2845,34.01666667,-119.3616667
1983,a-k-14,18.6485,33.46611667,-119.0277833
1983,a-k-15,31.3055,33.48753333,-119.0275833
1984,a-k-01,1.1735,34.02236667,-120.3874667
1984,a-k-02,13.619,34.06438333,-120.3566
1984,a-k-03,23.6385,33.90146667,-120.1029667
1984,a-k-04,9.6595,33.89753333,-120.10075
1984,a-k-05,8.795,34.03261667,-120.107
1984,a-k-06,10.5615,33.94966667,-119.8275833
1984,a-k-07,4.4385,34.05635,-119.75515
1984,a-k-08,11.2535,34.0345,-119.7033333
1984,a-k-09,8.934,34.04798333,-119.5514
1984,a-k-11,5.9635,34.00775,-119.4343833
1984,a-k-12,6.5825,34.01586667,-119.3717333
1984,a-k-13,2.5685,34.01666667,-119.3616667
1984,a-k-14,13.6095,33.46611667,-119.0277833
1984,a-k-15,9.901,33.48753333,-119.0275833
1985,a-k-01,2.23984375,34.02236667,-120.3874667
1985,a-k-02,15.38515625,34.06438333,-120.3566
1985,a-k-03,31.0328125,33.90146667,-120.1029667
1985,a-k-04,14.8171875,33.89753333,-120.10075
1985,a-k-05,10.525,34.03261667,-120.107
1985,a-k-06,27.90703125,33.94966667,-119.8275833
1985,a-k-07,4.021875,34.05635,-119.75515
1985,a-k-08,10.78828125,34.0345,-119.7033333
1985,a-k-09,9.03984375,34.04798333,-119.5514
1985,a-k-11,5.8171875,34.00775,-119.4343833
1985,a-k-12,6.125,34.01586667,-119.3717333
1985,a-k-13,2.57421875,34.01666667,-119.3616667
1985,a-k-14,24.65,33.46611667,-119.0277833
1985,a-k-15,25.13515625,33.48753333,-119.0275833
1986,a-k-01,4.18046875,34.02236667,-120.3874667
1986,a-k-02,38.81875,34.06438333,-120.3566
1986,a-k-03,27.71953125,33.90146667,-120.1029667
1986,a-k-04,24.34375,33.89753333,-120.10075
1986,a-k-05,26.93984375,34.03261667,-120.107
1986,a-k-06,57.03046875,33.94966667,-119.8275833
1986,a-k-07,8.515625,34.05635,-119.75515
1986,a-k-08,18.625,34.0345,-119.7033333
1986,a-k-09,46.9703125,34.04798333,-119.5514
1986,a-k-10,39.51484375,33.98983333,-119.5630667
1986,a-k-11,28.2625,34.00775,-119.4343833
1986,a-k-12,9.1421875,34.01586667,-119.3717333
1986,a-k-13,3.09453125,34.01666667,-119.3616667
1986,a-k-14,71.40390625,33.46611667,-119.0277833
1986,a-k-15,101.9765625,33.48753333,-119.0275833
1986,a-k-16,9.20625,33.46441667,-119.0391667
1987,a-k-01,2.296875,34.02236667,-120.3874667
1987,a-k-02,18.03359375,34.06438333,-120.3566
1987,a-k-03,25.05390625,33.90146667,-120.1029667
1987,a-k-04,8.6859375,33.89753333,-120.10075
1987,a-k-05,9.6125,34.03261667,-120.107
1987,a-k-06,41.94921875,33.94966667,-119.8275833
1987,a-k-07,8.3359375,34.05635,-119.75515
1987,a-k-08,21.89140625,34.0345,-119.7033333
1987,a-k-09,41.3609375,34.04798333,-119.5514
1987,a-k-10,41.21796875,33.98983333,-119.5630667
1987,a-k-11,28.6234375,34.00775,-119.4343833
1987,a-k-12,7.625,34.01586667,-119.3717333
1987,a-k-13,4.0015625,34.01666667,-119.3616667
1987,a-k-14,54.83671875,33.46611667,-119.0277833
1987,a-k-15,51.9578125,33.48753333,-119.0275833
1987,a-k-16,22.03203125,33.46441667,-119.0391667
1988,a-k-01,2.44453125,34.02236667,-120.3874667
1988,a-k-02,13.6546875,34.06438333,-120.3566
1988,a-k-03,3.13984375,33.90146667,-120.1029667
1988,a-k-04,3.48515625,33.89753333,-120.10075
1988,a-k-05,4.6078125,34.03261667,-120.107
1988,a-k-06,38.19375,33.94966667,-119.8275833
1988,a-k-07,8.0203125,34.05635,-119.75515
1988,a-k-08,9.28984375,34.0345,-119.7033333
1988,a-k-09,33.2390625,34.04798333,-119.5514
1988,a-k-10,28.5828125,33.98983333,-119.5630667
1988,a-k-11,32.7234375,34.00775,-119.4343833
1988,a-k-12,7.30390625,34.01586667,-119.3717333
1988,a-k-13,5.2859375,34.01666667,-119.3616667
1988,a-k-14,70.44921875,33.46611667,-119.0277833
1988,a-k-15,34.77421875,33.48753333,-119.0275833
1988,a-k-16,34.0296875,33.46441667,-119.0391667
1989,a-k-01,3.1546875,34.02236667,-120.3874667
1989,a-k-02,13.0046875,34.06438333,-120.3566
1989,a-k-03,5.66328125,33.90146667,-120.1029667
1989,a-k-04,8.7109375,33.89753333,-120.10075
1989,a-k-05,6.7640625,34.03261667,-120.107
1989,a-k-06,49.92109375,33.94966667,-119.8275833
1989,a-k-07,9.31796875,34.05635,-119.75515
1989,a-k-08,9.55390625,34.0345,-119.7033333
1989,a-k-09,39.51875,34.04798333,-119.5514
1989,a-k-10,23.5734375,33.98983333,-119.5630667
1989,a-k-11,17.65078125,34.00775,-119.4343833
1989,a-k-12,9.9625,34.01586667,-119.3717333
1989,a-k-13,4.61328125,34.01666667,-119.3616667
1989,a-k-14,74.4625,33.46611667,-119.0277833
1989,a-k-15,43.5046875,33.48753333,-119.0275833
1989,a-k-16,30.025,33.46441667,-119.0391667
1990,a-k-01,3.04765625,34.02236667,-120.3874667
1990,a-k-02,8.9390625,34.06438333,-120.3566
1990,a-k-03,2.5375,33.90146667,-120.1029667
1990,a-k-04,9.78125,33.89753333,-120.10075
1990,a-k-05,6.6640625,34.03261667,-120.107
1990,a-k-06,29.49609375,33.94966667,-119.8275833
1990,a-k-07,11.0921875,34.05635,-119.75515
1990,a-k-08,10.24375,34.0345,-119.7033333
1990,a-k-09,34.86875,34.04798333,-119.5514
1990,a-k-10,19.865625,33.98983333,-119.5630667
1990,a-k-11,22.9921875,34.00775,-119.4343833
1990,a-k-12,8.27734375,34.01586667,-119.3717333
1990,a-k-13,2.340625,34.01666667,-119.3616667
1990,a-k-14,57.559375,33.46611667,-119.0277833
1990,a-k-15,44.9859375,33.48753333,-119.0275833
1990,a-k-16,29.046875,33.46441667,-119.0391667
1991,a-k-01,1.58515625,34.02236667,-120.3874667
1991,a-k-02,10.72109375,34.06438333,-120.3566
1991,a-k-03,1.5296875,33.90146667,-120.1029667
1991,a-k-04,3.23671875,33.89753333,-120.10075
1991,a-k-05,4.24921875,34.03261667,-120.107
1991,a-k-06,13.1984375,33.94966667,-119.8275833
1991,a-k-07,8.0140625,34.05635,-119.75515
1991,a-k-08,7.76953125,34.0345,-119.7033333
1991,a-k-09,36.53671875,34.04798333,-119.5514
1991,a-k-10,14.796875,33.98983333,-119.5630667
1991,a-k-11,11.30078125,34.00775,-119.4343833
1991,a-k-12,4.4625,34.01586667,-119.3717333
1991,a-k-13,4.2890625,34.01666667,-119.3616667
1991,a-k-14,44.32109375,33.46611667,-119.0277833
1991,a-k-15,39.35546875,33.48753333,-119.0275833
1991,a-k-16,25.003125,33.46441667,-119.0391667
1992,a-k-01,2.8484375,34.02236667,-120.3874667
1992,a-k-02,7.74921875,34.06438333,-120.3566
1992,a-k-03,1.02890625,33.90146667,-120.1029667
1992,a-k-04,2.92109375,33.89753333,-120.10075
1992,a-k-05,4.20859375,34.03261667,-120.107
1992,a-k-06,10.98984375,33.94966667,-119.8275833
1992,a-k-07,6.03984375,34.05635,-119.75515
1992,a-k-08,4.13203125,34.0345,-119.7033333
1992,a-k-09,28.6421875,34.04798333,-119.5514
1992,a-k-10,3.2390625,33.98983333,-119.5630667
1992,a-k-11,8.19609375,34.00775,-119.4343833
1992,a-k-12,4.8203125,34.01586667,-119.3717333
1992,a-k-13,2.80546875,34.01666667,-119.3616667
1992,a-k-14,29.6484375,33.46611667,-119.0277833
1992,a-k-15,39.3359375,33.48753333,-119.0275833
1992,a-k-16,23.834375,33.46441667,-119.0391667
1993,a-k-01,1.9328125,34.02236667,-120.3874667
1993,a-k-02,6.32578125,34.06438333,-120.3566
1993,a-k-03,0.7984375,33.90146667,-120.1029667
1993,a-k-04,3.49921875,33.89753333,-120.10075
1993,a-k-05,5.44296875,34.03261667,-120.107
1993,a-k-06,15.28671875,33.94966667,-119.8275833
1993,a-k-07,4.74453125,34.05635,-119.75515
1993,a-k-08,3.29140625,34.0345,-119.7033333
1993,a-k-09,27.61484375,34.04798333,-119.5514
1993,a-k-10,2.63828125,33.98983333,-119.5630667
1993,a-k-11,12.0328125,34.00775,-119.4343833
1993,a-k-12,5.04296875,34.01586667,-119.3717333
1993,a-k-13,4.0203125,34.01666667,-119.3616667
1993,a-k-14,15.675,33.46611667,-119.0277833
1993,a-k-15,5.890625,33.48753333,-119.0275833
1993,a-k-16,5.84609375,33.46441667,-119.0391667
1994,a-k-01,2.4359375,34.02236667,-120.3874667
1994,a-k-02,8.73984375,34.06438333,-120.3566
1994,a-k-03,1.71875,33.90146667,-120.1029667
1994,a-k-04,2.84140625,33.89753333,-120.10075
1994,a-k-05,3.578125,34.03261667,-120.107
1994,a-k-06,12.01015625,33.94966667,-119.8275833
1994,a-k-07,5.4390625,34.05635,-119.75515
1994,a-k-08,20.765625,34.0345,-119.7033333
1994,a-k-09,25.7078125,34.04798333,-119.5514
1994,a-k-10,2.75546875,33.98983333,-119.5630667
1994,a-k-11,13.128125,34.00775,-119.4343833
1994,a-k-12,7.64375,34.01586667,-119.3717333
1994,a-k-13,3.99453125,34.01666667,-119.3616667
1994,a-k-14,51.27109375,33.46611667,-119.0277833
1994,a-k-15,16.6609375,33.48753333,-119.0275833
1994,a-k-16,7.26328125,33.46441667,-119.0391667
1995,a-k-01,1.752083333,34.02236667,-120.3874667
1995,a-k-02,10.95338542,34.06438333,-120.3566
1995,a-k-03,1.358072917,33.90146667,-120.1029667
1995,a-k-04,3.28046875,33.89753333,-120.10075
1995,a-k-05,7.492447917,34.03261667,-120.107
1995,a-k-06,25.06536458,33.94966667,-119.8275833
1995,a-k-07,11.8109375,34.05635,-119.75515
1995,a-k-08,31.13984375,34.0345,-119.7033333
1995,a-k-09,33.49973958,34.04798333,-119.5514
1995,a-k-10,8.51328125,33.98983333,-119.5630667
1995,a-k-11,38.28203125,34.00775,-119.4343833
1995,a-k-12,11.61979167,34.01586667,-119.3717333
1995,a-k-13,5.86640625,34.01666667,-119.3616667
1995,a-k-14,72.81276042,33.46611667,-119.0277833
1995,a-k-15,93.4375,33.48753333,-119.0275833
1995,a-k-16,16.75703125,33.46441667,-119.0391667
1996,a-k-01,0.517234848,34.02236667,-120.3874667
1996,a-k-02,3.947159091,34.06438333,-120.3566
1996,a-k-03,0.666287879,33.90146667,-120.1029667
1996,a-k-04,1.679734848,33.89753333,-120.10075
1996,a-k-05,2.030113636,34.03261667,-120.107
1996,a-k-06,10.17708333,33.94966667,-119.8275833
1996,a-k-07,8.291856061,34.05635,-119.75515
1996,a-k-08,12.91496212,34.0345,-119.7033333
1996,a-k-09,16.22007576,34.04798333,-119.5514
1996,a-k-10,3.377272727,33.98983333,-119.5630667
1996,a-k-11,10.36212121,34.00775,-119.4343833
1996,a-k-12,4.036742424,34.01586667,-119.3717333
1996,a-k-13,2.351893939,34.01666667,-119.3616667
1996,a-k-14,16.72973485,33.46611667,-119.0277833
1996,a-k-15,27.44223485,33.48753333,-119.0275833
1996,a-k-16,7.195075758,33.46441667,-119.0391667
