local,name
anacapa_island,Anacapa Island 
santa_barbara_island,Santa Barbara Island 
san_clemente_island,San Clemente Island 
santa_cruz_island,Santa Cruz Island 
san_miguel_island,San Miguel Island 
san_nicolas_island,San Nicolas Island 
santa_rosa_island,Santa Rosa Island 
mainland,Mainland
anacapa_passage,Anacapa Passage
footprint,Footprint
piggy_bank,Piggy Bank 
